                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9235,                 2.4503,                 1.5537,                0.57094,                0.43344,                0.46382,                0.25593,                 1.6164,                 1.7861,                 1.4441,             0.00047504,             0.00047504,             0.00047504
                      2,                 1.9573,                 1.9351,                 1.6145,                0.52319,                0.46207,                0.49847,                0.26121,                 1.5985,                 1.8291,                 1.4456,             0.00091369,             0.00091369,             0.00091369
                      3,                  1.947,                 1.8636,                 1.6038,                0.55189,                0.50365,                 0.5169,                0.25749,                 1.6373,                 1.6788,                 1.4594,              0.0013146,              0.0013146,              0.0013146
                      4,                 1.9004,                 1.7284,                 1.5966,                0.68264,                0.51428,                0.61487,                0.32345,                 1.5411,                 1.4585,                 1.4576,              0.0012592,              0.0012592,              0.0012592
                      5,                 1.8324,                 1.5717,                 1.5413,                0.68411,                0.62908,                0.70364,                 0.4128,                 1.4381,                 1.3202,                 1.3554,              0.0012026,              0.0012026,              0.0012026
                      6,                 1.7838,                  1.474,                 1.5098,                0.66235,                0.67064,                0.74008,                0.43077,                 1.4012,                 1.2503,                 1.3615,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.7293,                 1.3674,                 1.4774,                0.77148,                0.67656,                0.76995,                0.47463,                  1.339,                 1.1462,                  1.322,              0.0010895,              0.0010895,              0.0010895
                      8,                 1.6884,                 1.3023,                 1.4504,                0.73277,                0.67133,                0.75316,                0.46122,                 1.3223,                 1.1189,                 1.3081,              0.0010329,              0.0010329,              0.0010329
                      9,                 1.6406,                 1.2038,                 1.4176,                0.82392,                0.70071,                0.81984,                0.51391,                 1.3043,                 1.0151,                 1.2817,             0.00097629,             0.00097629,             0.00097629
                     10,                 1.6147,                 1.1609,                  1.397,                0.78134,                0.69271,                0.79975,                0.51619,                  1.269,                 1.0449,                 1.2669,              0.0009197,              0.0009197,              0.0009197
                     11,                 1.5808,                 1.1175,                 1.3755,                 0.8063,                  0.734,                0.83697,                0.53134,                 1.2631,                0.95891,                  1.258,             0.00086312,             0.00086312,             0.00086312
                     12,                 1.5445,                 1.0696,                 1.3593,                0.84024,                0.73092,                 0.8604,                0.56383,                 1.2109,                0.90618,                 1.2279,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.5251,                 1.0187,                 1.3387,                0.82474,                0.76127,                0.86284,                0.57709,                 1.1952,                0.88812,                 1.2186,             0.00074994,             0.00074994,             0.00074994
                     14,                 1.4834,                0.97334,                 1.3205,                0.78192,                0.79369,                0.85007,                0.56881,                 1.1961,                0.87889,                 1.2182,             0.00069335,             0.00069335,             0.00069335
                     15,                 1.4629,                0.94747,                 1.3013,                 0.8973,                0.75585,                 0.8837,                0.58788,                 1.1646,                0.81913,                  1.205,             0.00063676,             0.00063676,             0.00063676
                     16,                 1.4487,                0.88153,                 1.3563,                0.86002,                 0.7849,                 0.8735,                0.59681,                 1.1505,                  0.836,                 1.1892,             0.00058017,             0.00058017,             0.00058017
                     17,                  1.406,                 0.8255,                 1.3354,                 0.8955,                0.76511,                0.89276,                0.61611,                 1.1258,                0.78569,                 1.1882,             0.00052359,             0.00052359,             0.00052359
                     18,                 1.3686,                0.78389,                 1.3105,                0.89037,                0.75843,                0.89246,                0.62191,                 1.0971,                0.79143,                 1.1672,               0.000467,               0.000467,               0.000467
                     19,                 1.3409,                0.76109,                 1.2865,                0.88443,                0.78053,                0.89196,                0.63004,                 1.0715,                0.78389,                  1.147,             0.00041041,             0.00041041,             0.00041041
                     20,                  1.314,                0.73062,                 1.2678,                0.88749,                0.78774,                0.88985,                0.63956,                 1.0772,                0.76716,                 1.1525,             0.00035382,             0.00035382,             0.00035382
                     21,                 1.2793,                0.70606,                 1.2464,                0.88595,                0.81104,                0.89867,                0.65026,                 1.0493,                0.76282,                 1.1511,             0.00029723,             0.00029723,             0.00029723
                     22,                 1.2457,                 0.6802,                 1.2228,                0.83213,                0.85224,                0.90319,                0.65779,                 1.0441,                0.75205,                 1.1409,             0.00024064,             0.00024064,             0.00024064
                     23,                 1.2203,                0.66894,                 1.2135,                0.87913,                0.82948,                0.90247,                0.66158,                 1.0273,                0.74029,                 1.1345,             0.00018406,             0.00018406,             0.00018406
                     24,                  1.194,                0.63768,                 1.1977,                0.87592,                  0.845,                0.90786,                0.66703,                 1.0207,                0.73599,                  1.134,             0.00012747,             0.00012747,             0.00012747
                     25,                  1.171,                0.62689,                 1.1828,                0.90967,                0.82121,                0.90807,                0.67401,                 1.0131,                0.71936,                  1.135,             7.0878e-05,             7.0878e-05,             7.0878e-05
